Project Key,Project Name,Issue Type,Summary,Description,Priority,Labels,Components,Sprint,Epic Name,Story Points,Status,Assignee,Reporter,Parent
GPI,Governed Persona Intelligence,Epic,EPIC-FOUNDATION: Foundation and CI Controls,"Phase 0 delivery for environment, access, CI, and release guardrails.",Highest,"phase0,foundation,governance","platform,ci-cd",Sprint 1 - Foundation,EPIC-FOUNDATION,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-INGESTION: Governed Ingestion and Late Data,"Phase I delivery for raw ingestion, metadata, and late-arriving reconciliation.",Highest,"phase1,ingestion,airbyte,airflow","ingestion,orchestration",Sprint 2 - Ingestion,EPIC-INGESTION,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-NORMALIZATION: German Data Rigor,"Phase II delivery for locale normalization, encoding, and currency parsing.",High,"phase2,normalization,locale","transformation,data-quality",Sprint 3 - Reliability and Locale,EPIC-NORMALIZATION,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-SEMANTIC: SCD2 and Feature Core,Phase III delivery for historical semantic layer and identity resolution.,Highest,"phase3,semantic,scd2","semantic-layer,dbt",Sprint 4 - Semantic Core,EPIC-SEMANTIC,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-ML: In-Warehouse ML and Drift Automation,"Phase IV delivery for clustering, churn, registry, and drift response.",Highest,"phase4,ml,snowpark,drift","ml-platform,model-registry",Sprint 5 - ML Core,EPIC-ML,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-AI-APP: Cortex Narratives and SiS,Phase V delivery for narrative generation and marketer-facing app.,High,"phase5,cortex,streamlit","app,ai-layer",Sprint 7 - Persona Consultant,EPIC-AI-APP,,To Do,,,
GPI,Governed Persona Intelligence,Epic,EPIC-GOLIVE: Hardening and Hypercare,"Phase VI delivery for reliability drills, rollout, and BAU transfer.",Highest,"phase6,golive,hypercare","operations,reliability",Sprint 8 - Go Live,EPIC-GOLIVE,,To Do,,,
GPI,Governed Persona Intelligence,Story,BL-001 Setup Snowflake RBAC and resource monitors,"Provision Snowflake databases, warehouses, roles, schemas, and resource monitors.",Highest,"phase0,security,snowflake","platform,snowflake",Sprint 1 - Foundation,,8,To Do,,,EPIC-FOUNDATION
GPI,Governed Persona Intelligence,Story,BL-002 Configure Codespaces dev baseline,"Install and validate Snowflake CLI, dbt, and Snowpark dependencies in dev environment.",High,"phase0,devex,codespaces","platform,developer-experience",Sprint 1 - Foundation,,5,To Do,,,EPIC-FOUNDATION
GPI,Governed Persona Intelligence,Story,BL-003 Implement secrets and least-privilege principals,"Set up secure credentials and minimal grants for Airflow, Airbyte, and dbt.",Highest,"phase0,security,iam","platform,security",Sprint 1 - Foundation,,8,To Do,,,EPIC-FOUNDATION
